Name1,Name2,Name3,Price,Discount,Link
КОЛБАСА МАДЕРА С/К В/С 1КГ,,,27.59,21.99,/upload/iblock/f28/pfhi9lkicpw86cuya0yl1jdznwi2tn6l.jpg
Балычок СЛОНИМСКИЙ к/в 1 кг Слонимский МК,,,23.19,15.99,/upload/iblock/b2f/bdwucdz12xcc0tzmje4m0vnzztbgnagl.jpg
ВЕТЧИНА БЕЛОВЕЖСКАЯ СВ.К/В В/У 1КГ,Ветчина БЕЛОВЕЖСКАЯ к/в 1 кг Славянский МК,,19.19,12.99,/upload/iblock/b51/pn8tmi4vcv3decf5fa3ye31ihdvgxlk9.jpg
Ветчина БАЛЕРОН 1 с 1 кг Витконпродукт,,,11.99,8.99,/upload/iblock/90b/apcr85s7s8bybokrrk82toj7yvz9zgow.jpg
КОЛБАСА ВАР.МОРТАД.ПРЕМ.СУС.МАЕН.В/С 1КГ,,,7.49,6.49,/upload/iblock/730/aca5ycgzcc43b5mypsv0zepn44xt9sfd.jpg
Колбаса Тминная Новая 1с варено-копченая в вакуме 1кг,Колбаса Тминная Новая 1с варено-копченая 1кг,,11.99,9.99,/upload/iblock/f47/ynbi1rgp79qp6kv9r226g869o0wandwd.jpg
РУЛЕТ ЛЮБИМЫЙ М/ПТ К/В В/С 1КГ,Рулет ЛЮБИМЫЙ м/пт к/в в/с 1 кг Витконпродукт,,14.69,12.49,/upload/iblock/fb8/hxg6fdgrnn7h8gcjgscgxcywkfmd6kg1.jpg
Вырезка Юбилейная сырокопченая 1кг,,,24.79,20.99,/upload/iblock/947/1hyk8uuu29glvb67gozc5d893l8tnmy6.jpg
П/Ф ЗРАЗЫ ИЗ СВИН.С ГРИБ.ВЕС.1КГ ПР.ЦЕХ,П/Ф ЗРАЗЫ ИЗ СВИН.С ГРИБ.ФАС.1КГ ПР.ЦЕХ,П/Ф ЗРАЗЫ СВИН.С ГРИБАМИ 1КГ ПР.ЦЕХ,10.99,9.69,/upload/iblock/f94/qril5b51lwevuyrfiypuzq4tputsux34.jpg
П/Ф ШАШЛЫК СВИН.ШЕИ С ТОМ.ВЕС.1КГ ПР.ЦЕХ,П/Ф ШАШЛЫК СВИН.ШЕИ С ТОМ.ФАС.1КГ ПР.ЦЕХ,П/ф ШАШЛЫК из свиной шеи с томатами 1 кг,19.99,15.49,/upload/iblock/c77/y84ugi80ihcy70skk9f009i3unmx7x3e.jpg
